0.0999, [[ 1  0 15] [ 0  1 -8]], schismatic
0.1732, [[ 1  0 -4] [ 0  1  4]], meantone
0.3056, [[ 1  1  2] [ 0  2  1]], dicot
0.3104, [[ 1  0  1] [ 0  6  5]], kleismic
0.3306, [[ 2  1  6] [ 0  8 -5]], [REDACTED]
0.3492, [[ 1  0  4] [ 0  1 -1]], father
0.3920, [[ 1  0 -1] [ 0  1  2]], what the hell are you doing
0.4033, [[ 9  1  1] [ 0  2  3]], ennealimmal
0.4672, [[ 2  0 11] [ 0  1 -2]], pajara?
0.4827, [[ 1  4  2] [ 0 15 -2]], luna
0.5151, [[ 1  3  6] [ 0  5 13]], amity
0.5235, [[ 3  0  7] [ 0  1  0]], augmented
0.7220, [[ 1  2  3] [ 0  3  5]], porcupine
0.7315, [[ 2  4  5] [ 0  7  3]], [REDACTED]
0.7695, [[ 1  0  0] [ 0  2  3]], bug
0.8262, [[ 1  6  8] [ 0  7  9]], sensi
0.9187, [[ 1  0  2] [ 0  5  1]], magic
0.9279, [[ 1  0  7] [ 0  1 -3]], mavila
0.9525, [[ 1  7  3] [ 0  8  1]], würschmidt
0.9573, [[ 1  0  3] [ 0  7 -3]], orwell
0.9719, [[ 1  0 -6] [ 0  4 21]], vulture
