0.0700, [[ 1 1  2] [ 0 2  5]], mohajira?
0.1272, [[ 3 0  8] [ 0 2  1]], nexus???
0.1846, [[ 1 0  5] [ 0 1 -1]], (unnamed)
0.2230, [[ 1 1 -2] [ 0 3 28]], slendric*???
0.2443, [[ 1 0  2] [ 0 1  1]], (unnamed)
0.3952, [[ 2 1  8] [ 0 2 -1]], alpharabian
0.5150, [[ 8 0 15] [ 0 1  1]], (unnamed)
0.6635, [[ 1 2  4] [ 0 3  4]], (unnamed)
0.7088, [[ 1 0  9] [ 0 2 -7]], (unnamed)
0.7337, [[ 1 0 -6] [ 0 1  6]], (unnamed)
0.7701, [[ 1 0 -3] [ 0 1  4]], dominant?
0.8276, [[ 2 0  7] [ 0 1  0]], (unnamed)
0.8800, [[ 1 0 13] [ 0 1 -6]], (unnamed)
0.9836, [[ 1 0  4] [ 0 3 -1]], (unnamed)
